n,training_time
1653,24.2421
1654,24.386
1655,24.9773
1656,24.8817
1657,20.0977
1658,18.069
1659,24.3919
1660,27.7332
1661,24.067
1662,24.2347
1663,24.4849
1664,23.3879
1665,27.2704
1666,24.8243
1667,34.2177
1668,17.9814
1669,28.9246
1670,32.1116
1671,24.4282
1672,22.241
1673,24.9147
1674,16.9299
1675,15.5869
1676,19.9215
1677,18.3666
1678,24.3313
1679,25.2893
1680,16.2816
1681,22.9609
1682,22.3615
1683,33.4176
1684,19.2775
1685,18.1249
1686,26.5464
1687,36.1853
1688,13.3566
1689,16.3592
1690,16.6043
1691,39.9395
1692,20.0715
1693,25.6815
1694,33.3395
1695,16.7534
1696,42.6008
1697,25.2142
1698,22.3498
1699,17.3822
1700,25.3027
1701,26.2491
1702,15.9376
1703,29.922
1704,39.9269
1705,20.2863
1706,21.8857
1707,26.399
1708,25.5083
1709,29.9226
1710,17.3742
1711,24.7758
1712,26.8054
1713,28.2552
1714,31.6306
1715,16.0494
1716,29.9932
1717,31.2664
1718,19.9434
1719,33.1662
1720,25.7007
1721,32.6027
1722,19.165
1723,30.0163
1724,10.0905
1725,25.2169
1726,17.8697
1727,28.0876
1728,20.9316
1729,15.6554
1730,40.1017
1731,22.1189
1732,28.4166
1733,25.5414
1734,23.8061
1735,32.9659
1736,19.6566
1737,24.905
1738,23.9767
1739,33.0403
1740,33.4877
1741,19.8747
1742,39.9849
1743,18.3519
1744,15.9279
1745,15.9218
1746,32.1996
1747,18.2397
1748,19.9604
1749,25.1035
1750,29.2778
1751,19.9469
1752,30.0078
1753,30.108
1754,30.2223
1755,20.883
1756,20.0799
1757,20.0671
1758,24.0664
1759,32.6771
1760,24.0145
1761,20.0238
1762,27.7394
1763,29.9977
1764,30.0889
1765,27.5239
1766,25.1145
1767,17.4767
1768,19.9858
1769,20.0602
1770,33.4891
1771,33.8436
1772,19.7481
1773,20.4398
1774,25.3873
1775,24.9536
1776,20.8769
1777,33.5328
1778,24.439
1779,26.7383
1780,27.5537
1781,24.3347
1782,22.8602
1783,23.0559
1784,15.9169
1785,29.0421
1786,25.0239
1787,16.7846
1788,29.9979
1789,25.0403
1790,30.0281
1791,20.0139
1792,24.688
1793,22.2536
1794,19.9988
1795,39.6818
1796,20.0023
1797,20.1765
1798,36.4438
1799,30.2057
1800,30.0069
1801,19.9408
1802,26.0787
1803,30.056
1804,30.0213
1805,30.1754
1806,20.1507
1807,28.5192
1808,26.1502
1809,25.069
1810,24.0395
1811,25.1144
1812,25.6682
1813,40.4666
1814,30.0
1815,19.999
1816,19.9431
1817,19.9378
1818,20.0802
1819,14.8526
1820,39.5321
1821,41.0248
1822,20.0321
1823,39.9284
1824,19.9993
1825,20.0506
1826,20.0128
1827,19.5174
1828,29.251
1829,25.0491
1830,29.6164
1831,26.584
1832,25.4898
1833,25.7954
1834,25.5884
1835,24.9306
1836,29.8834
1837,29.9494
1838,22.7474
1839,22.4373
1840,16.7849
1841,25.727
1842,29.9978
1843,23.226
1844,28.1101
1845,21.9061
1846,21.4748
1847,21.1303
1848,25.0326
1849,24.1121
1850,23.0594
1851,24.1642
1852,30.0859
1853,30.1871
1854,40.0312
